URL;"Traffic (%)";"Number of Keywords";Traffic;"Adwords Positions";"Positions with commercial intents in top 20";"Positions with informational intents in top 20";"Positions with navigational intents in top 20";"Positions with transactional intents in top 20";"Positions with unknown intents in top 20";"Traffic with commercial intents in top 20";"Traffic with informational intents in top 20";"Traffic with navigational intents in top 20";"Traffic with transactional intents in top 20";"Traffic with unknown intents in top 20"
ringaling;0,48;1;1339;0;1;0;0;0;0;1339;0;0;0;0
jbabeyy;0,34;1;948;0;1;0;0;0;0;948;0;0;0;0
aliyahalya;0,26;1;719;0;1;0;0;0;0;719;0;0;0;0
mrluckypov;0,19;12;548;0;5;4;1;0;0;541;7;0;0;0
ts.luna;0,17;12;484;0;4;5;0;0;0;443;41;0;0;0
yukayams;0,15;5;437;0;3;1;0;0;0;437;0;0;0;0
violetmoreau;0,12;33;356;0;6;5;3;2;0;286;32;2;2;0
bunni.emmie;0,11;28;321;0;6;18;2;3;0;284;35;2;2;0
fwtina;0,1;3;301;0;1;2;0;0;0;4;297;0;0;0
hanacutiee;0,1;2;293;0;1;1;0;0;0;3;290;0;0;0
sophi2u;0,1;6;276;0;2;4;0;0;0;250;26;0;0;0
amyzi;0,09;7;257;0;5;2;0;0;0;237;20;0;0;0
bigbootytechnerd;0,09;17;255;0;1;9;0;1;0;16;227;0;2;0
tskellynicolexo;0,09;4;253;0;2;0;0;0;0;253;0;0;0;0
sinfuldeeds;0,09;32;250;0;7;17;6;1;0;46;39;162;3;0
chloelamb;0,08;17;247;0;11;1;0;0;0;246;1;0;0;0
aella_girl;0,08;2;237;0;1;0;1;1;0;237;0;0;0;0
oakleyraeee;0,08;21;236;0;7;9;0;0;0;68;168;0;0;0
onlykyomi;0,08;1;234;0;1;0;0;0;0;234;0;0;0;0
therealbrittfit;0,08;51;232;0;34;8;0;0;0;220;10;0;0;0
brandybilly;0,08;40;222;0;4;28;1;2;0;2;206;11;11;0
nikocadoavocado;0,07;66;218;0;4;58;0;19;0;0;218;0;99;0
tspalace;0,07;8;216;0;7;1;0;0;0;216;0;0;0;0
ts-melanie;0,07;7;207;0;5;2;0;0;0;205;2;0;0;0
miaipanema;0,07;9;200;0;5;2;1;0;0;195;5;0;0;0
dread_xclusive;0,07;1;193;0;1;0;0;0;0;193;0;0;0;0
macnmycheese;0,07;1;193;0;0;1;0;0;0;0;193;0;0;0
skirby;0,06;27;191;0;15;9;0;0;0;155;35;0;0;0
apollostone1776;0,06;3;189;0;2;0;0;0;0;189;0;0;0;0
angievarona;0,06;19;185;0;1;16;2;2;0;11;171;3;3;0
brandibraids;0,06;34;179;0;12;0;0;0;0;169;0;0;0;0
rrfox;0,06;4;178;0;1;0;0;0;0;178;0;0;0;0
glamgurlxoxo;0,06;10;172;0;0;2;0;0;0;0;171;0;0;0
lusheena;0,06;13;172;0;5;7;1;3;0;147;8;19;5;0
cherry-on-top99;0,06;20;171;0;14;3;1;1;0;166;2;3;3;0
the.little.red;0,06;22;167;0;8;10;4;3;0;9;156;2;2;0
lenatheplug;0,05;32;163;0;16;3;4;2;0;146;8;2;3;0
yungfreckz;0,05;9;161;0;6;1;0;0;0;160;1;0;0;0
camillacutie;0,05;8;157;0;6;3;0;0;0;148;11;0;0;0
bunniebe11a;0,05;1;156;0;1;0;0;0;0;156;0;0;0;0
thesabrinabangs;0,05;6;156;0;5;1;0;0;0;151;5;0;0;0
barbiedolleater;0,05;1;155;0;1;0;0;0;0;155;0;0;0;0
ceraphstear;0,05;1;154;0;1;0;0;0;0;154;0;0;0;0
nebraskawut;0,05;25;153;0;3;0;0;0;0;0;0;0;0;0
thesolominxxclub;0,05;17;151;0;3;13;0;0;0;67;84;0;0;0
masmiaa;0,05;4;150;0;1;3;0;0;0;146;4;0;0;0
sierraxrain;0,05;10;149;0;5;4;0;0;0;91;58;0;0;0
t4rlady;0,05;27;149;0;13;8;0;0;0;117;31;0;0;0
marlene2995;0,05;30;148;0;9;9;1;1;0;69;78;0;0;0
realalexisbreeze;0,05;5;147;0;3;1;1;1;0;141;6;0;0;0
lyssavip;0,05;1;146;0;1;0;0;0;0;146;0;0;0;0
mpoonis;0,05;2;145;0;0;2;0;0;0;0;145;0;0;0
farmgirllacy;0,05;24;145;0;5;14;1;0;0;3;118;24;0;0
citygirlbaby;0,05;4;144;0;2;2;0;0;0;126;18;0;0;0
mags.irl;0,05;12;144;0;3;3;1;1;0;119;18;7;7;0
todopokie;0,05;10;141;0;6;4;0;0;0;138;3;0;0;0
icanbeurnuocmami;0,05;6;141;0;5;1;0;0;0;139;2;0;0;0
queenkalinxxx;0,05;14;138;0;12;2;0;0;0;138;0;0;0;0
georgiastonex;0,04;7;137;0;2;4;0;0;0;128;9;0;0;0
tgirlplayhouse;0,04;6;133;0;1;3;0;0;0;1;131;0;0;0
mysweetsophie;0,04;3;132;0;1;2;0;2;0;127;5;0;5;0
warnerandluke;0,04;1;132;0;0;1;0;0;0;0;132;0;0;0
nastinicole101;0,04;4;131;0;3;1;0;0;0;131;0;0;0;0
so_youjade;0,04;6;131;0;4;1;0;0;0;131;0;0;0;0
arabshemalesara;0,04;4;131;0;0;1;0;0;0;0;131;0;0;0
xxsophxxx;0,04;1;129;0;1;0;0;0;0;129;0;0;0;0
mikaylakatt;0,04;2;128;0;2;0;0;0;0;128;0;0;0;0
brianbowiexxx;0,04;5;127;0;0;4;0;0;0;0;127;0;0;0
amnie_art;0,04;1;125;0;1;0;0;0;0;125;0;0;0;0
hotelguytv;0,04;6;125;0;6;0;0;0;0;125;0;0;0;0
diorabaird;0,04;7;123;0;0;3;2;3;0;0;99;24;111;0
kaceykayy;0,04;33;123;0;19;6;0;0;0;93;28;0;0;0
silverfoxxx32;0,04;8;121;0;5;2;0;0;0;111;10;0;0;0
luvpup;0,04;4;119;0;4;0;0;0;0;119;0;0;0;0
gracecharisxo;0,04;19;118;0;1;10;0;0;0;111;7;0;0;0
ifyouseekenny;0,04;1;116;0;1;0;0;0;0;116;0;0;0;0
janemaryxo;0,04;1;116;0;1;0;0;0;0;116;0;0;0;0
jackiebabigirl;0,04;12;114;0;7;4;0;0;0;75;39;0;0;0
polynesiansaux;0,04;6;113;0;6;0;0;0;0;113;0;0;0;0
gamerblonde;0,04;9;112;0;3;6;0;0;0;86;26;0;0;0
summerxiris;0,04;2;112;0;2;0;0;0;0;112;0;0;0;0
bbybratzo;0,04;4;111;0;3;1;0;0;0;109;2;0;0;0
thedogmomnextdoor;0,04;2;111;0;2;0;0;0;0;111;0;0;0;0
angelicatlol;0,03;6;110;0;3;3;0;0;0;108;2;0;0;0
grittylife;0,03;10;109;0;4;6;0;0;0;51;109;0;0;0
kat.aphrodisiac;0,03;5;108;0;5;0;0;0;0;108;0;0;0;0
spo0pykitten;0,03;16;108;0;11;3;0;0;0;81;27;0;0;0
bigtittygothegg;0,03;40;107;0;7;25;2;0;0;43;67;1;0;0
charlotte.simon;0,03;18;106;0;13;4;0;0;0;94;12;0;0;0
mouthfullofyumm;0,03;2;106;0;2;0;0;0;0;106;0;0;0;0
angelav01;0,03;1;106;0;1;0;0;0;0;106;0;0;0;0
therealbbytay;0,03;1;105;0;1;0;0;0;0;105;0;0;0;0
tanaka-kawano;0,03;2;105;0;1;0;0;0;0;105;0;0;0;0
iluvavaa1;0,03;4;105;0;2;0;0;0;0;105;0;0;0;0
srullaa;0,03;1;104;0;1;0;0;0;0;104;0;0;0;0
lyracr0w0-vip;0,03;5;104;0;4;1;0;0;0;104;0;0;0;0
hisexoticvixen;0,03;6;101;0;2;4;0;0;0;0;101;0;0;0
lucylemonxxx;0,03;8;101;0;7;0;0;0;0;101;0;0;0;0
legssamantha;0,03;4;101;0;2;2;0;0;0;77;24;0;0;0
kornstarbaby;0,03;1;101;0;0;1;0;0;0;0;101;0;0;0
tigerr_benson;0,03;4;97;0;1;1;0;1;0;96;0;0;0;0
nat_bk_vip;0,03;4;96;0;1;1;0;0;0;96;0;0;0;0
toystoryandiee;0,03;4;96;0;4;0;0;0;0;96;0;0;0;0
samanthakittyy;0,03;3;95;0;1;2;0;0;0;0;95;0;0;0
matildem;0,03;6;94;0;4;2;0;0;0;92;6;0;0;0
jenns.2;0,03;11;91;0;6;1;1;1;0;32;57;1;1;0
yourpuppygirl;0,03;5;91;0;4;1;0;0;0;86;5;0;0;0
skylarxraee;0,03;23;91;0;15;3;0;0;0;82;3;0;0;0
sophie_foxiee;0,03;23;90;0;12;5;1;1;0;45;45;0;0;0
camillelamb;0,03;14;89;0;2;11;0;0;0;1;88;0;0;0
hotwife_blondee;0,03;7;89;0;3;2;0;0;0;79;10;0;0;0
justforgays;0,03;4;89;0;3;0;0;0;0;89;0;0;0;0
themjbaby;0,03;16;87;0;1;7;0;0;0;0;87;0;0;0
nessa2121;0,03;5;87;0;1;4;0;2;0;83;4;0;0;0
indie.gold;0,03;44;87;0;29;8;1;1;0;67;20;0;0;0
ella.nutella1;0,03;2;86;0;2;0;0;0;0;86;0;0;0;0
rileymaetwo;0,03;5;86;0;2;2;0;0;0;3;83;0;0;0
scarlettrayxo;0,03;6;86;0;2;1;0;0;0;85;1;0;0;0
conlennox;0,03;2;84;0;1;0;1;1;0;84;0;0;0;0
chloerose111;0,03;11;84;0;7;3;0;0;0;2;82;0;0;0
theminxxclub;0,03;30;84;0;13;13;2;1;0;46;15;23;0;0
anapaulasaenzoficial;0,03;6;84;0;0;5;0;0;0;0;84;0;0;0
iamdanidimes;0,03;7;84;0;0;3;0;0;0;0;84;0;0;0
jade.love;0,03;28;84;0;15;9;1;1;0;43;18;21;21;0
queenmfnbee91;0,03;1;83;0;1;0;0;0;0;83;0;0;0;0
therealcarissa;0,03;1;83;0;1;0;0;0;0;83;0;0;0;0
motzy4u;0,03;3;83;0;2;2;0;0;0;79;6;0;0;0
gigibny;0,02;2;82;0;2;0;0;0;0;82;0;0;0;0
skye.rose;0,02;17;82;0;10;7;0;0;0;55;29;0;0;0
waterparkkyy;0,02;1;82;0;1;0;0;0;0;82;0;0;0;0
mrswolflove;0,02;1;82;0;0;1;0;0;0;0;82;0;0;0
parisssexoticz;0,02;12;81;0;8;1;0;0;0;81;0;0;0;0
jezzi.xo;0,02;8;81;0;4;2;0;0;0;76;5;0;0;0
weebempresskittenlee;0,02;12;81;0;6;7;0;0;0;76;5;0;0;0
little.warren;0,02;16;80;0;11;3;0;0;0;64;23;0;0;0
alicia.jns;0,02;8;80;0;1;1;1;1;0;79;1;0;0;0
callmeolivia00;0,02;3;80;0;1;2;0;0;0;68;12;0;0;0
