URL;"Traffic (%)";"Number of Keywords";Traffic;"Adwords Positions";"Positions with commercial intents in top 20";"Positions with informational intents in top 20";"Positions with navigational intents in top 20";"Positions with transactional intents in top 20";"Positions with unknown intents in top 20";"Traffic with commercial intents in top 20";"Traffic with informational intents in top 20";"Traffic with navigational intents in top 20";"Traffic with transactional intents in top 20";"Traffic with unknown intents in top 20"
ecuador;0,14;14;388;0;14;0;0;0;0;388;0;0;0;0
mexico;0,13;20;363;0;11;0;0;0;0;363;0;0;0;0
argentina;0,1;16;287;0;10;1;0;0;0;287;1;0;0;0
brazil;0,1;20;283;0;17;1;0;0;0;283;0;0;0;0
puerto-rico;0,1;17;277;0;12;0;0;0;0;277;0;0;0;0
belgium;0,09;4;264;0;1;3;0;0;0;79;185;0;0;0
venezuela;0,06;22;175;0;13;1;0;0;0;171;4;0;0;0
ukraine;0,05;18;147;0;6;0;0;0;0;147;0;0;0;0
dominican-republic;0,05;6;146;0;6;0;0;0;0;146;0;0;0;0
cuba;0,04;15;134;0;12;1;0;0;0;133;1;0;0;0
turkey;0,04;5;122;0;4;0;0;0;0;122;0;0;0;0
peru;0,04;13;113;0;12;1;0;0;0;113;1;0;0;0
central-african-republic;0,03;2;95;0;1;1;0;0;0;86;9;0;0;0
greece;0,02;8;73;0;4;0;0;0;0;73;0;0;0;0
el-salvador;0,01;6;53;0;5;0;0;0;0;53;0;0;0;0
honduras;0,01;6;48;0;6;0;0;0;0;48;0;0;0;0
costa-rica;0,01;3;46;0;2;0;0;0;0;46;0;0;0;0
thailand;0,01;17;40;0;9;1;0;0;0;39;1;0;0;0
france;0,01;2;35;0;2;0;0;0;0;35;0;0;0;0
nigeria;0,01;3;32;0;3;2;0;0;0;32;31;0;0;0
romania;0,01;8;31;0;5;0;0;0;0;31;0;0;0;0
japan;0,01;5;31;0;5;0;0;0;0;31;0;0;0;0
colombia;0,01;7;31;0;3;0;0;0;0;31;0;0;0;0
nicaragua;0;2;22;0;1;0;0;0;0;22;0;0;0;0
germany;0;2;18;0;1;0;0;0;0;18;0;0;0;0
guatemala;0;2;15;0;2;0;0;0;0;15;0;0;0;0
canada;0;5;14;0;2;0;0;0;0;14;0;0;0;0
sweden;0;5;10;0;2;0;0;0;0;10;0;0;0;0
netherlands;0;2;9;0;2;0;0;0;0;9;0;0;0;0
australia;0;1;7;0;1;0;0;0;0;7;0;0;0;0
norway;0;3;7;0;2;0;0;0;0;7;0;0;0;0
chile;0;2;6;0;0;0;0;0;0;0;0;0;0;0
vietnam;0;4;6;0;3;0;0;0;0;6;0;0;0;0
united-states;0;1;6;0;0;1;0;0;0;0;6;0;0;0
slovakia;0;1;5;0;0;1;0;0;0;0;5;0;0;0
south-africa;0;3;5;0;2;0;0;0;0;5;0;0;0;0
denmark;0;2;4;0;2;1;0;0;0;4;2;0;0;0
bolivia;0;2;4;0;0;0;0;0;0;0;0;0;0;0
croatia;0;1;3;0;1;0;0;0;0;3;0;0;0;0
singapore;0;3;3;0;1;0;0;0;0;3;0;0;0;0
paraguay;0;1;2;0;1;0;0;0;0;2;0;0;0;0
italy;0;2;2;0;0;0;0;0;0;0;0;0;0;0
czech-republic;0;2;2;0;1;0;0;0;0;2;0;0;0;0
united-arab-emirates;0;4;1;0;3;1;0;0;0;1;0;0;0;0
india;0;2;1;0;1;0;0;0;0;1;0;0;0;0
portugal;0;4;1;0;2;1;0;0;0;1;0;0;0;0
